GR;nr_modello;nome_modello;conc.;collezione;specifica;nome_modello.1;colore;ordinamento;ID Joor;Foto;fotolook;Concatena;;;;
15;151;ZARINA;151ZARINA;271;Pullover;ZARINA;3434;4;100837||343400000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/BcqUwc8WR-qvgDeM4HQH1Q_15974694006a563541f04452_07055448_03040660XX1.jpg;https://127-foto.netlify.app/161.jpg;ZARINA 3434(151);;;;
15;151;AZZORRE;151AZZORRE;271;Pantalone;AZZORRE;2230;5;544441||223000000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/ZgBT5m73QPW7gATccGas3g_21284596846a1452407e51c3_73631924_02900680XX1.jpg;https://127-foto.netlify.app/161.jpg;AZZORRE 2230(151);;;;
15;151;IAPIGE;151IAPIGE;271;Borsa;IAPIGE;2339 0002;99;544272||233900020000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/cvf7J-0iQ4ecP4xpRAXFnA_4276540736a1453282dde79_10220699_02970160XX1.jpg;https://127-foto.netlify.app/161.jpg;IAPIGE 2339 0002(151);;;;
15;151;NONA;151NONA;271;Bracciale;NONA;2;99;544361||200000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/NCVbcOEzTZ-NyeviAg7xyQ_15946604066a14533a4d6852_60896697_02971370XX4.jpg;https://127-foto.netlify.app/161.jpg;NONA 2(151);;;;
15;151;DUCHESSE;151DUCHESSE;271;Cintura;DUCHESSE;2;99;544367||200000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/oL3TJCuxQ62m5IEWR6Accg_19533515566a1453254050b7_39777174_02970040XX1.jpg;https://127-foto.netlify.app/161.jpg;DUCHESSE 2(151);;;;
15;151;NEVISCHIO     A;151NEVISCHIO     A;271;Orecchino;NEVISCHIO     A;2;99;544429||200000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/DQWAE_vBS7i1YR1OzJeDhw_21086673106a1453421044e4_96117532_02971630XX1.jpg;https://127-foto.netlify.app/161.jpg;NEVISCHIO     A 2(151);;;;
15;151;ULLANO        B;151ULLANO        B;271;Calzature;ULLANO        B;49;99;544483||4900000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/LFbr3MrZRrm_GbSwCPZkhA_20851971266a564345dfd0b4_67912225_03050770XX1.jpg;https://127-foto.netlify.app/161.jpg;ULLANO        B 49(151);;;;
3;152;CURIOSO;152CURIOSO;271;Pullover;CURIOSO;1135 1191;4;100792||113511910000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/DTkP9U-KRrmVyjQU4UUJ6w_13298993616a56354180e426_29827442_03040650XX1.jpg;https://127-foto.netlify.app/216.jpg;CURIOSO 1135 1191(152);;;;
3;152;ADELAIDA;152ADELAIDA;271;Pantalone;ADELAIDA;1191;5;544517||119100000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/qE6gC0PEQzqy45UAZJMZFA_14663468586a5634ca438ff7_89455674_02990060XX1.jpg;https://127-foto.netlify.app/216.jpg;ADELAIDA 1191(152);;;;
3;152;NILVANGE;152NILVANGE;271;Collana;NILVANGE;1173 0002;99;544246||117300020000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/IgGdeeuzQOODJHbfAWqFkQ_20712449896a564338026a86_31246850_03050400XX1.jpg;https://127-foto.netlify.app/216.jpg;NILVANGE 1173 0002(152);;;;
3;152;IAPIGE;152IAPIGE;271;Borsa;IAPIGE;2339 0002;99;544272||233900020000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/cvf7J-0iQ4ecP4xpRAXFnA_4276540736a1453282dde79_10220699_02970160XX1.jpg;https://127-foto.netlify.app/216.jpg;IAPIGE 2339 0002(152);;;;
3;152;NONA;152NONA;271;Bracciale;NONA;2;99;544361||200000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/NCVbcOEzTZ-NyeviAg7xyQ_15946604066a14533a4d6852_60896697_02971370XX4.jpg;https://127-foto.netlify.app/216.jpg;NONA 2(152);;;;
3;152;NEVIGLIE;152NEVIGLIE;271;Orecchino;NEVIGLIE;0212 0987 0002;99;544457||21209870002;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/pBWomEtORpmttUyUZ8p8EQ_3710773156a1453417183e8_17218047_02971620XX1.jpg;https://127-foto.netlify.app/216.jpg;NEVIGLIE 0212 0987 0002(152);;;;
3;152;UMBERINO      A;152UMBERINO      A;271;Calzature;UMBERINO      A;2339;99;544464||233900000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/BzP2Kd-kRe-WbaI2eUQcgQ_10356781886a145333bffbe9_96445397_02971220XX1.jpg;https://127-foto.netlify.app/216.jpg;UMBERINO      A 2339(152);;;;
3;153;VADIANA;153VADIANA;271;Giacca;VADIANA;1199;1;544195||119900000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/00UtBJlAT-mt33hY5Yczkw_6300992686a56351849aa64_55018078_03030010XX1.jpg;https://127-foto.netlify.app/286.jpg;VADIANA 1199(153);;;;
3;153;ABANTE;153ABANTE;271;Pantalone;ABANTE;1199;5;544497||119900000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/3g9Ada4yReqhQsIDYXSisA_8794742556a5634c8be9f43_55431340_02990030XX1.jpg;https://127-foto.netlify.app/286.jpg;ABANTE 1199(153);;;;
3;153;IAPIGE;153IAPIGE;271;Borsa;IAPIGE;2264 0002;99;544272||226400020000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/zJZAly2zQS-u2eAs4ykTOg_16970615336a145327b51567_35646153_02970150XX1.jpg;https://127-foto.netlify.app/286.jpg;IAPIGE 2264 0002(153);;;;
3;153;NEVISCHIO     A;153NEVISCHIO     A;271;Orecchino;NEVISCHIO     A;2;99;544429||200000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/DQWAE_vBS7i1YR1OzJeDhw_21086673106a1453421044e4_96117532_02971630XX1.jpg;https://127-foto.netlify.app/286.jpg;NEVISCHIO     A 2(153);;;;
3;153;USCITA;153USCITA;271;Calzature;USCITA;2264 2264;99;544431||226422640000;#N/D;https://127-foto.netlify.app/286.jpg;USCITA 2264 2264(153);;;;
7;154;BRIOSITA;154BRIOSITA;271;Camicia;BRIOSITA;1191;2;544494||119100000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/jpOl-V3HSqmGR-XcmmPsFw_1870136946a5634e6a569a8_27174120_03000390XX1.jpg;https://127-foto.netlify.app/215.jpg;BRIOSITA 1191(154);;;;
7;154;TAMARICE;154TAMARICE;271;Gonna;TAMARICE;1191;6;544628||119100000000;https://cdn.jooraccess.com/img/uploads/accounts/598756/images/1E8kryGBQeyq-yHvlB6Rpw_2925274146a563515b3bc07_24757980_03020060XX1.jpg;https://127-foto.netlify.app/215.jpg;TAMARICE 1191(154);;;;
